"使相机处于活动状态","Make Camera Active"
"禁用白平衡节点","Disable White Balance Node"
"从合成中删除白平衡并使用色彩管理白平衡","Remove White Balance from Compositing and use Color Management White Balance"
"白平衡","White Balance"
"模糊","Blur"
"线性","Linear"
"添加世界 HDRI","Add World HDRI"
"创建 HDRI 环境材质","Creates HDRI Environment material"
"世界人类发展指数","World HDRI"
"世界 HDRI 纺织","World HDRI Tex"
"添加天空纹理","Add Sky Texture"
"创建天空环境材质","Creates Sky Environment material"
"物理天空","Physical Sky"
"天空纹理","Sky Texture"
"启用世界环境","Enable World"
"按住 Shift 键单击以独显此灯光 \n","Shift-Click to Solo this light. \n"
"DKDK","Ctrl-Click to enable/disable all linked lights.\n"
"添加颜色控制","Add Color Controls"
"将白平衡和模糊节点添加到世界材质中","Adds White Balance and Blur nodes to the World material"
"刷新 HDRI 库","Refresh HDRI library"
"更新 HDRI、库子文件夹和缩略图","Updates HDRIs, library subfolders and thumbnails"
"Cycle between Worlds","Cycle between Worlds"
"使用物理光","Use Physical Light"
"浅色","Light Color"
"使用光色温","Use Light Color Temperature"
"光单元","Light Unit"
"每平方米（/m\u00B2）","Per square meter (/m\u00B2)"
"锥角（尺寸）","Cone Angle (Size)"
"形状","Shape"
"尺寸 Y","Size Y"
"使用水平坐标系","Use Horizontal Coordinate System"
"使用方位角和仰角旋转太阳","Rotates the Sun using Azimuth and Elevation"
"方位角","Azimuth"
"太阳水平自转","Horizontal rotation of the Sun"
"海拔","Elevation"
"太阳垂直自转","Vertical rotation of the Sun"
"光目标","Light Target"
"物体上的光目标跟踪","Light Target Tracking on an object"
"Gobo 纹理比例","Gobo Texture Scale"
"比例 Y","Scale Y"
"Gobo 纹理比例 Y","Gobo Texture Scale Y"
"偏移 X","Offset X"
"Gobo 纹理偏移 X","Gobo Texture Offset X"
"偏移 Y","Offset Y"
"Gobo 纹理偏移 Y","Gobo Texture Offset Y"
"不透明度","Opacity"
"Gobo 纹理不透明度","Gobo Texture Opacity"
"Gobo 类别","Gobo Category"
"Gobo 子文件夹类别","Gobo Subfolder category"
"重复 Gobo 纹理","Repeat Gobo Texture"
"将Gobo 链接到光斑尺寸","Link Gobo to Spot Size"
"启用 IES 配置文件","Enable IES Profile"
"IES类别","IES Category"
"IES 子文件夹类别","IES Subfolder category"
"IES 外形","IES Profile"
"衰减平滑度","Falloff Smoothness"
"光衰减平滑度，调整衰减曲线","Light Falloff Smoothness, adjusts decay curve"
"展开材质自发光设置","Expand Material Emissive settings"
"背面剔除","Backface Culling"
"独显","Solo"
"使用自发光色温","Use Emissive Color Temperature"
"展示更多","Show More"
"Photographer PostFX v","Photographer PostFX v"
"ST 贴图纹理","STMap Texture"
"镜头效果","Lens Effects"
"启用镜头效果（使用合成）","Enable Lens Effects (uses Compositing)"
"失真","Distortion"
"启用失真","Enable Distortion"
"失真类型","Distortion Type"
"选择简单（搅拌机镜头畸变）或 STMap 来创建镜头畸变","Choose between Simple (Blender Lens Distortion) or an STMap to create Lens Distortion"
"失真量","Distortion Amount"
"使用正值的桶形失真，使用负值的针垫失真","Barrel distortion using positive values, Pin cushion distortio using negative values"
"比例补偿","Scale Compensation"
"STMap 失真后，放大以修复丢失的潜在丢失像素的百分比","Percentage of scaling up to fix missing potential missing pixels after STMap distortion"
"ST 映射贴图","STMap Image"
"横向色差","Lateral Chromatic Aberration"
"启用横向色差","Enable Lateral Chromatic Aberration"
"横向色差量","Lateral Chromatic Aberration Amount"
"在图像角落创建横向色差的通道数量和模糊偏移","Amount of channels and blur offset to create Lateral Chromatic Aberration on the corner of the image"
"横向色差颜色","Lateral Chromatic Aberration Colors"
"选择红青、蓝黄或绿紫色差","Choose Red and Cyan, Blue and Yellow or Green and Purple chromatic aberration"
"褶边","Fringing"
"启用图像明亮区域的边缘处理","Enable Fringing from bright areas of the image"
"边缘量","Fringing Amount"
"毛边量","Amount of Fringing"
"褶边尺寸","Fringing Size"
"褶边模糊","Fringing bluriness"
"褶边阈值","Fringing Threshold"
"亮度高于该值的像素参与条纹","Pixels with brightness higher than this value participate to fringing"
"褶边颜色","Fringing Color"
"由于纵向色差，镜头的褶边通常在焦点后面呈紫色","Fringing from lenses is usually purple behind the focus point due to longitudinal chromatic aberration"
"辉光","Bloom"
"启用眩光条纹","Enable Glare Streaks"
"辉光量","Bloom Amount"
"辉光阈值","Bloom Threshold"
"亮度高于该值的像素将产生 Bloom","Pixels with brightness higher than this value will create Bloom"
"辉光尺寸","Bloom Size"
"相对于像素亮区初始大小","Relative to the initial size of bright area of pixels"
"辉光品质","Bloom Quality"
"如果未设置为“高”，效果将应用于图像的低分辨率副本","If not set to High, the effect will be applied to a low-res copy of the image"
"条纹","Streaks"
"条纹数量","Streaks Amount"
"条纹数","Number of Streaks"
"通常对应光圈叶片的数量","Usually corresponds to the number of Aperture blades"
"条纹阈值","Streaks Threshold"
"亮度高于该值的像素将产生条纹","Pixels with brightness higher than this value will create Streaks"
"条纹角度偏移","Streaks Angle offset"
"条纹褪色长度","Streaks Fade Length"
"渐晕","Vignetting"
"启用渐晕。 请注意，光学渐晕也可以用于实现这种效果","Enable Vignetting. Note that Optical Vignetting can also be used to achieve such effect"
"渐晕量","Vignetting Amount"
"渐晕不透明度","Vignetting opacity"
"渐晕衰减","Vignetting Falloff"
"渐晕遮罩衰减","Vignetting Mask Falloff"
"渐晕宽度","Vignetting Width"
"渐晕高度","Vignetting Height"
"锐化","Sharpen"
"启用图像后期锐化的锐化控件","Enable Sharpen controls for image post-sharpening"
"锐化量","Sharpen Amount"
"锐化半径","Sharpen Radius"
"镜头柔软度","Lens Softness"
"启用镜头柔和度控制","Enable Lens Softness controls"
"镜头柔软度","Lens Softness Amount"
"模糊大小","Blur Size"
"中心柔软度","Center Softness"
"拐角衰减","Corner Falloff"
"角宽","Corner Width"
"拐角高度","Corner Height"
"胶片颗粒","Film Grain"
"启用胶片颗粒控制","Enable Film Grain controls"
"薄膜颗粒量","Film Grain Amount"
"薄膜颗粒度","Film Grain Scale"
"胶片颗粒纹理","Film Grain texture"
"应用于合成","Apply at Compositing"
"摄影师主相机","Photographer Main Camera"
"按相机或收藏排序","Sort by Camera or Collection"
"场景相机","Scene Camera"
"筛选","Filter"
"按名称过滤","Filter by name"
"相反的顺序","Reverse Order"
"逆序排序","Reverse Sorting order"
"倒置","Invert"
"反向过滤（显示隐藏项目，反之亦然）","Invert filtering (show hidden items, and vice versa)"
"展开世界环境设置","Expand World settings"
"主动光特性","Active Light properties"
"HDRI 纹理","HDRI Texture"
"HDRI 类别","HDRI Category"
"HDRI 子文件夹类别","HDRI Subfolder category"
"使用色温","Use Color Temperature"
"温度","Temperature"
"颜色倍增器","Color Multiplier"
"按灯光、系列或灯光组排序","Sort by Light, Collection or Light Group"
"宽度","Width"
"按材质、系列或灯光组排序","Sort by Material, Collection or Light Group"
"为绑定上的属性创建驱动程序","Create driver to a property on the rig"
"变量","var"
"为滑动摄像机绑定创建骨骼","Create bones for the dolly camera rig"
"为吊车摄像机绑定创建骨骼","Create bones for the crane camera rig"
"完成滑动摄像机和吊车摄像机的绑定设置","Finish setting up Dolly and Crane rigs"
"为 2D 相机创建骨骼","Create bones for the 2D camera rig"
"资源_","res_"
"旋转位移","rotation_shift"
"框架宽度","frame_width"
"相机_z","cam_z"
"相机_","cam_"
"镜头","lens"
"创建所有相机绑定通用的东西。","Create stuff common to all camera rigs."
"%s_相机","%s_Camera"
"构建相机绑定","Build Camera Rig"
"建造一个相机绑定","Build a Camera Rig"
"模式","mode"
"要创建的相机类型","Type of camera to create"
"添加对象 > 相机菜单中的滑动和吊车","Dolly and crane entries in the Add Object > Camera Menu"
"滑动相机绑定","Dolly Camera Rig"
"吊车相机绑定","Crane Camera Rig"
"2D 相机绑定","2D Camera Rig"
"创建一个空的小部件对象并返回该对象","Create an empty widget object and return the object"
"创建一个楔形小部件","Create a wedge-shaped widget"
"创建一个圆形小部件","Create a circle-shaped widget"
"创建一个指南针形状的小部件","Create a compass-shaped widget"
"创建相机控制小部件","Create a camera control widget"
"创建相机偏移控制小部件","Create a camera offset control widget"
"创建相机瞄准小部件","Create a camera aim widget"
"需要抖动和高样本数","Requires Jitter and high Sample count"
"检查镜头面板的设置","Check Lens Panel for settings"
"场景中没有相机","No Camera in the Scene"
"场景集合","Scene Collection"
"锁定相机查看","Lock Camera to View"
"边界","Border"
"设置关键帧","Set Key"
"渲染活动项","Render Active"
"Photographer 面板相机列表","Camera list for Photographer Panel"
"Photographer 面板的相机集合列表","Camera Collection list for Photographer Panel"
"相机列表","Camera List"
"CAMERA_PT_Photographer","CAMERA_PT_Photographer"
"Photographer","Photographer"
"这是主摄像头，但当前未处于活动状态。","This is the Main Camera, but is it not currently Active."
"这不是主动相机。","This is not the Active Camera."
"更改设置完成","Changing settings won"
"制作活动相机","Make Active Camera"
"翻转相机","Flip Camera "
"主要的","Main"
"Passepartout","Passepartout"
"辅助线","Composition Guides"
"景深","Depth of Field"
"变形比例","Anamorphic Ratio"
"曝光补偿","Exp. Compensation"
"需要 GPU 设备","Requires GPU device"
"软阴影可能会导致问题","Soft shadows might cause issues"
"速度","Speed"
"需要重新应用设置","Settings need to be reapplied"
"仅光圈 F 制光圈 / 仅 DOF","Aperture F-stop / DOF only"
"影响运动模糊","Affect Motion Blur"
"启用运动模糊","Enable Motion Blur"
"影响景深","Affect Depth of Field"
"曝光 won","Exposure won"
"考虑打开视口合成。","Consider turning on Viewport Compositing."
"EV 指南：","EV Guide: "
"潜在的采样问题","Potential Sampling issue"
"更新光阈值","Update Light Threshold"
"白平衡 won","White Balance won"
"分辨率 X","Resolution X"
"比率 X","Ratio X"
"分辨率","Resolution"
"焦点","Focus"
"追踪","Tracking"
"超焦距: ","Hyperfocal Distance: "
"自动对焦","Autofocus"
"启用 AF-C","Enable AF-C"
"动画自动对焦","Animate AF"
"CAMERA_PT_Photographer_自动对焦","CAMERA_PT_Photographer_Autofocus"
"连续自动对焦","Continuous Autofocus"
"将 LuxCore 设备设置为 GPU","Set LuxCore device to GPU"
"自动曝光需要使用 GPU 设备","Auto Exposure requires using GPU device"
"禁用软阴影","Disable Soft Shadows"
"单击以禁用 EEVEE 软阴影，该阴影可能会将自动曝光锁定为无限更新循环","Click to disable EEVEE Soft Shadows that may lock Auto Exposure into an infinite update loop"
"自发光节点缺失。 按扫描","Emissive node Missing. Press to Scan"
"缺少节点，请重新扫描","Missing Node, please Scan again"
"自发光混合器面板的发光材质列表","Emissive Material List for Emissive Mixer panel"
"Lightmixer 面板的灯光列表","Light List for Lightmixer panel"
"自发光混合器","Emissive Mixer"
"添加自发光","Add Emissive"
"创建","Create"
"场景中没有自发光材质","No Emissive material in the Scene"
"无灯光组"," No Light Group"
"镜头","Lens"
"生成丢失的缩略图","Generate Missing Thumbnails"
"包含所有 HDRI 以实现更快的菜单","Include all HDRIs for faster menus"
"如果缺少，将在 HDRI 旁边创建 PNG 小图。","Will create small PNGs next to the HDRIs, if missing."
"这可能需要几分钟的时间。","This may take a few minutes."
"生成 IES 配置文件缩略图","Generate IES profiles Thumbnails"
"将创建 PNG 缩略图来预览 IES 配置文件。","Will create PNG thumbnails to preview IES profiles."
"重复","Repeat"
"灯光特性","Light Properties"
"射线特性","Ray Properties"
"偏斜","Bias"
"计算光表面积","Calculate Light surface area"
"应用对象大小并计算光表面积","Apply Object size and calculate light surface area"
"计算光亮度","Calculate Light brightness"
"使用新的光斑尺寸计算光亮度a","Calculate Light brightness with new Spot sizea"
"切换色彩模式","Switch Color Mode"
"在开尔文温度和 RGB 颜色之间进行选择","Choose between Temperature in Kelvin and Color RGB"
"应用灯光设置","Apply Light Settings"
"物理光","Physical Light"
"在 Photographer 之外更改的属性","Properties changed outside of Photographer"
"重新计算光强度","Recalculate Light Intensity"
"停止调整","Stop Adjusment"
"使用水平坐标","Use Horizontal Coordinate"
"尺码 X","Size X"
"灯光尺寸发生变化，需要重新计算。","Light size has changed and needs to be recalculated."
"门户网站","Portal"
"光斑形状","Spot Shape"
"锥角发生变化，需要重新计算亮度","Cone Angle has changed and brightness needs to be recalculated"
"光束形状","Beam Shape"
"Photographer 相机","Photographer Camera"
"物理点光","Physical Point"
"物理太阳","Physical Sun"
"物理聚光灯","Physical Spot"
"物理面光","Physical Area"
"Photographer 相机饼菜单","Photographer Camera Pie"
"对焦对象","Focus Object"
"以前的","Previous"
"相机后 FX","Camera Post FX"
"视口渲染","Viewport Render"
"类型","Type"
"放大 ％","Upscale %"
"尚不支持 Reatime Comp。","Reatime Comp not supported yet."
"横向 CA","Lateral CA"
"规模 X","Scale X"
"临界点","Threshold"
"质量","Quality"
"注意：视口合成渲染方式不同","Note: Viewport Compositing renders differently"
"来自最终合成（Blender 3.6）","from Final Compositing (Blender 3.6)."
"数字","Number"
"角度","Angle"
"褪色","Fade"
"衰减","Falloff"
"半径","Radius"
"视口中的大小不可信","Size cannot be trusted in Viewport"
"天空设置为无","Sky is set to None"
"世界着色器中没有背景节点","No Background nodes in World shader"
"强度：","Strength: "
"请设置您的 HDRI 库路径：","Please set your HDRI library path:"
"世界环境混合器","World Mixer"
"世界","world"
"垂直线将是平行的，但不是直线，因为相机旋转Y不是0","Vertical lines will be parallel but not straight because the camera rotation Y is not 0"
"考虑移除任何旋转 Y，使自动镜头位移按预期工作","Consider removing any rotation Y for the Auto Lens Shift to work as expected"
"无法计算镜头偏移，因为相机没有垂直旋转","Impossible to calculate Lens Shift, the Camera has no vertical rotation"
"裁剪系数","Crop Factor"
"毫米等效","mm equivalent"
"静帧","Still"
"柱面线框","Cylinder Wire"
"进入 灯光模式，在鼠标光标下创建目标。\n","Enters Light Modal to create a target under your mouse cursor. \n"
"点击鼠标右键确认","Right-Click to validate. \n"
"",""
"",""
