发送到我们服务器的质量反馈不包含个人、网格或场景数据。,"The quality feedback sent to our server contains no personal, mesh or scene data.\nOnly minimal info relating to your InstaLOD license is sent via secure HTTPS.\n\nYour feedback helps us to determine where and how to prioritize our R&D efforts."
糟糕,Bad
好,Okay
好,Good
哇,Wow
另存为批处理配置文件,Save As Batch Profile
输入批处理配置文件的名称。,Enter the name of the batch profile.
"批处理预案可从 ""保存为批处理预案 ""中选择并执行。",Batch profiles can be selected and executed from the 
所有当前设置（包括烘焙设置和输出文件夹）都将保留在批处理预案中。,"All current settings, including bake settings and output folders will be persisted in the batch profile."
导出为 InstaLOD 管道预案...,Export As InstaLOD Pipeline Profile...
保存预案,Save Profile
执行外部配置文件,Execute External Profile
导入网格,Import Meshes
选择要导入的网格。,Select meshes for import.
文件导出,File Export
将选择的网格导出为指定的文件格式。,Exports the selection to the specified file format.
用于 CAD 导入的 InstaLOD 细分功能,InstaLOD Tessellation for CAD Import
优化所选网格,Optimize Selected Meshes
优化当前选区。,Optimize the current selection.
材料合并所选网格,Material Merge Selected Meshes
合并当前选区的材质。,Merge the materials of the current selection.
解除所选网格的包裹,Unwrap Selected Meshes
解除当前选区的包裹。,Unwraps the current selection.
UV 包所选网格,UV Pack Selected Meshes
对当前选区进行 UV 包装。,UV packs the current selection.
重网格化选中的网格,Remesh Selected Meshes
重网格当前选区。,Remesh the current selection.
拟真所选网格,Imposterize Selected Meshes
对当前选区进行拟真。,Imposterize the current selection.
对选中的网格执行遮挡剔除。,Perform occlusion culling on the selected meshes.
使用所选网格执行烘焙。,Perform bake using the selected meshes.
执行批处理,Execute Batch
在所有选中的网格上执行选中的批处理操作。,Executes the selected batch operations on all selected meshes.
授权工作站,Authorize Workstation
使用指定的许可证授权此工作站。,Authorizes this workstation using the specified license.
取消工作站授权,Deauthorize Workstation
取消此工作站使用指定许可证的授权。,Deauthorizes this workstation using the specified license.
选择许可证文件,Select License File
创建剪贴平面,Create Clipping Plane
在场景中添加剪切平面。,Adds a clipping plane to the scene.
字符串值,String Value
删除剪切平面。,Deletes the clipping plane.
选择剪切平面。,Selects the clipping plane.
在线帮助,Online Help
打开 Autodesk Maya InstaLOD 的联机帮助。,Opens the online help for InstaLOD for Autodesk Maya.
提交反馈,Submit Feedback
通过电子邮件提交反馈。,Submit feedback via Email.
向上滚动控制台。,Scrolls the console up.
向下滚动控制台。,Scrolls the console down.
百分比三角形,Percent Triangles
绝对三角形,Absolute Triangles
屏幕尺寸（像素,Screen Size In Pixels
最大偏差,Maximum Deviation
边界重要性,Boundary Importance
纹理重要性,Texture Importance
阴影重要性,Shading Importance
轮廓重要性,Silhouette Importance
蒙皮重要性,Skinning Importance
重新计算法线,Recalculate Normals
加权法线,Weighted Normals
硬角度阈值,Hard Angle Threshold
叶骨焊接距离,Leaf Bone Weld Distance
最大骨骼深度,Maximum Bone Depth
每个顶点的最大影响,Max Influences Per Vertex
最小影响阈值,Min Influence Threshold
忽略关节 RegEx,Ignore Joint RegEx
焊接距离,Welding Distance
保护不同的 UV 外壳,Protect Distinct UV-Shells
法线角度阈值,Normal Angle Threshold
T 型接头愈合距离,T-Junction Healing Distance
锁定裂缝,Lock Splits
锁定边界,Lock Boundaries
保护分割,Protect Splits
保护边界,Protect Boundaries
最佳位置,Optimal Placement
全局范围,Global Scope
网格比例标准化,Normalize Mesh Scale
警告 5: 未选择 I18N_OptimalPlacement！,Warning5: I18N_OptimalPlacement not selected!
模糊面数目标,Fuzzy Face Count Target
最大三角形数,Maximum Triangles
像素合并距离,Pixel Merge Distance
自动纹理尺寸,Automatic Texture Size
忽略背面,Ignore Backfaces
构建区别,Distinct Construction
自适应分辨率,Adaptive Resolution
遮挡网格后缀,Occlusion Mesh Suffix
启用,Enable
拉伸重要性,Stretch Importance
以像素为单位的沟槽大小,Gutter Size In Pixels
后期处理布局,Post-Process Layout
贝壳拼接,Shell Stitching
烘焙网格后缀,Bake Mesh Suffix
自动光线长度系数,Auto Ray Length Factor
阿尔法蒙板阈值,Alpha Mask Threshold
射线方向平均法线,Average Normals As Ray Directions
冒名顶替类型,Imposter Type
填充,Padding
XY 轴四边形,XY Axis Quads
XZ 轴四边形,XZ Axis Quads
YZ 轴四边形,YZ Axis Quads
双面四边形,Two Sided Quads
细分 U,Subdivisions U
细分 V,Subdivisions V
位移,Displacement
最大网格面数,Maximum Face Count
混合网格面系数,Hybrid Mesh Face Factor
混合云多边形网格后缀,Hybrid Cloud Poly Mesh Suffix
云法线,Cloud Normal
云法线符合性,Cloud Normal Conformity
每轴翻页帧数,Flipbook Frames Per Axis
冒牌网格后缀,Imposter Mesh Suffix
阿尔法剪切,Alpha Cutout
细分,Subdivide
外壳旋转,Shell Rotation
世界空间归一化,Worldspace Normalize
输入 UV 集索引,Input UV Set Index
输出 UV 设置索引,Output UV Set Index
生成零区域 UV,Generate Zero Area UV
零区域 UV 阈值,Zero Area UV Threshold
UV 重要性,UV Importance
几何重要性,Geometric Importance
视觉重要性,Visual Importance
子网格面阈值,Submesh Face Threshold
邻接深度,Adjacency Depth
优化器权重,Optimizer Weight
半透明网格后缀,Translucent Mesh Suffix
基于相机的遮挡,Camera Based Occlusion
渲染输出路径,Render Output Path
匹配目标网格和源网格,Matching Target And Source Meshes
目标网格后缀,Target Mesh Suffix
源网格 RegEx 格式,Source Mesh RegEx Format
出射线长度（单位：%,Out-Ray Length In %
射线内长度 %,In-Ray Length In %
填充自定义纹理页,Flood-fill Custom Texture Pages
平均法线,Average Normals
网格笼后缀,Cage Mesh Suffix
使用网格笼法线,Use Cage Mesh Normals
源网格 UV 设置索引,Source Mesh UV Set Index
输出路径,Output Path
文件名 格式,File Name Format
格式 结果 演示,Format Result Demo
默认宽度,Default Width
默认高度,Default Height
像素缩放,Dilation In Pixels
固化纹理页,Solidify Texture Pages
强制默认纹理尺寸,Force Default Texture Size
8 bpp 输出格式,8 bpp Export Format
16 bpp 输出格式,16 bpp Export Format
32 bpp 输出格式,32 bpp Export Format
压缩质量,Compression Quality
切线空间法线,Tangent Space Normal
物体空间法线,Object Space Normal
环境闭塞,Ambient Occlusion
自定义纹理,Custom Textures
位置,Position
转移,Transfer
弯曲法线,Bent Normals
反射,Reflectance
顶点颜色,Vertex Color
网格 ID,MeshID
厚度,Thickness
曲率,Curvature
不透明度,Opacity
重心,Barycentric
阴影内核,Shadow Kernel
强度,Strength
高光去除,Highlight Removal
阴影去除,Shadow Removal
衰减,Falloff
顶点颜色输出集 1,Vertex Color Output Set 1
顶点颜色输出设置 2,Vertex Color Output Set 2
顶点颜色输出设置 3,Vertex Color Output Set 3
顶点颜色输出设置 4,Vertex Color Output Set 4
配置文件,Config File
射线长度 %,Ray Length In %
强度,Intensity
表面偏移，单位 %,Surface Offset In %
锥体角度,Cone Angle
按距离衰减 AO,Attenuate AO By Distance
随机偏差,Random Deviation
采样计数,Sample Count
模糊核,Blur Kernel
归一化,Normalize
全范围,Full Range
按单个源网格,By Individual Source Mesh
每个片段归一化,Binormal Per Fragment
每个片段归一化,Normalize Per Fragment
输出切线空间,Output Tangent Space
纹理宽度,Texture Width
纹理高度,Texture Height
缩放,Scale
焊接边界,Weld Boundaries
删除退化面,Remove Degenerate Faces
符合法线,Conform Normals
符合卷绕顺序,Conform Winding Order
填充孔,Fill Holes
细分模式,Subdivision Mode
翻转卷绕顺序,Flip Winding Order
按材料分割,Split By Materials
按相邻关系分割,Split By Adjacency
最小半径,Minimum Radius
最小面面积,Minimum Face Area
创建凸面体,Create Convex Hull
InstaLOD 管道路径,InstaLOD Pipeline Path
自定义导出路径,Custom Export Path
批量配置文件路径,Batch Profile Path
使用 GLTF 作为导出格式,Use GLTF As Export Format
将网格父网格化到原始衔铁,Parent Mesh To Original Armature
保留空对象,Keep Empty Objects
重新计算切线,Recalculate Tangents
覆盖平滑组,Override Smoothing Groups
反馈用户界面,Feedback UI
场景单位比例,Scene Unit Scale
验证场景单位比例,Verify Scene Unit Scale
材质验证错误信息,Material Verification Error Message
异步执行,Asynchronous Execution
创建 LOD 组,Create LOD Groups
外部配置文件,External Profile
用户名,Username
密码,Password
许可证信息,License Information
InstaLOD Grid 用户名,InstaLOD Grid Username
InstaLOD Grid 密码,InstaLOD Grid Password
InstaLOD Grid 服务器,InstaLOD Grid Server
许可证信息数据,License Information Data
机器密钥,Machine Key
环境变量 INSTALOD_DIR_PIPELINE 中指定的 InstaLOD 管道路径无效。,The InstaLOD Pipeline path specified in the environment variable INSTALOD_DIR_PIPELINE is invalid.
InstaLOD 未正确设置,InstaLOD is not setup properly
单位,Unit
容差,Tolerance
最大边缘长度,Maximum Edge Length
最大角度,Maximum Angle
统一主体,Unified Body
向上轴,Up Axis
反转法线,Invert Normals
着色魔法,Shading Magic
导入材质,Import Materials
将颜色作为材质导入,Import Colors As Materials
INSTALOD_Batch_List,INSTALOD_Batch_List
