,"""\""""
"""",""Render Output"""
这使得 EXR 文件在其他程序中的加载速度较慢，但可以节省大量磁盘空间。,"Saves the EXR files with the smallest possible file size.\nThis makes the EXR files slower to load in other programs, but saves a lot of disk space\nLossy compression is used, but usually unnoticeable"
预览渲染,Preview Render
在后台渲染，无需预览。,"Render in the background, without a preivew.\nThis option saves a lot of memory, but you can"
使用超级高级相机,Use Super Advanced Camera
使用 “超级高级摄影机” 附加组件来合成效果\n这将使合成器再次可用于时间去噪。\n\n 此选项将停止安装并启用 “超级高级相机” 插件,Use the Super Advanced Camera addon for compositing effects.\nThis will make the compositor useable again for temporal denoising.\n\nThis option rquieres the Super Advanced Camera addon to be installed and enabled.
去噪时使用运动模糊,Use motion blur when denoising
采样,Samples
用于动态模糊的样本量,The amount of samples to use for motion blur
快门速度,Shutter Speed
动态模糊时使用的快门速度,The shutter speed to use for motion blur
最小速度,Min Speed
像素接收到的运动模糊的最小强度。,"The minimum intensity of motion blur a pixel will receive.\nThere will always be more motion blur than this, but this is the minimum"
最大速度,Max Speed
像素将接收到的运动模糊的最大强度。,The maximum intensity of motion blur a pixel will receive.\nThere will never be more motion blur than this.\n0 for no limit
曲线插值,Curved Interpolation
在帧与帧之间使用曲线插值\n而不是线性插值。,Interpolates between frames using a curve instead of linearly.\nThis makes the motion blur look more natural
滤镜源,Filter Source
选择 TED-Filter 用来检测伪影的来源。,Chose the source the TED-Filter will use to detect artifacts.
滤镜阈值,Filter Threshold
TED-Filter（TED 滤镜）会检测快速运动造成的伪影，我们建议大多数场景的阈值在 2 到 5 之间。,"The higher, the more agressive the TED-Filter will be.\nThe TED-Filter detects artifacts caused by fast movement.\nWe recommend a value between 2 and 5 for most scenes.\nA value of 0 will disable the filter."
滤镜半径,Filter Radius
这个值决定了 TED 滤镜的过渡应该有多平滑。,"The higher, the more feathering the TED-Filter will have.\nThis value determins how smooth the transition of the TED-Filter should be.\nWe recommend a value between 2 and 5 for most scenes.\nA value of 0 will disable the filter."
过扫描,Overscan
渲染帧外像素的数量。,The amount of pixels to render outside of the frame.\nUseful on fast camera motion.
帧补偿,Frame Compensation
由于时间去噪的工作方式，第一帧和最后两帧会被剪切掉。,"Due to the way temporal denoising works, the first and the last 2 frames will be cut off.\nThis option will compensate for that by using non temporal denoised frames as a replacement"
文件输出,File Output
选择步骤 2 输出的文件格式。,Choose the file format step 2 will output.
选择步骤 3 输出的文件格式！,"Choose the file format step 3 will output.\nIf you need more options, let us know!"
自动分割,Autosplit
如果需要，可将视频分割成多个文件,Split the video into multiple files if it
编码速度,Encoding Speed
视频比特率,Video Bitrate
视频的比特率，单位 kbps。,"The bitrate of the video in kbps.\nHigher is better, but also bigger"
设置并验证插件数据。,Setup and validate the addon data.
项目名称,Project Name
项目文件夹名称,Name of the Project Folder
项目位置,Project Location
保存文件的位置,Saves the location of file
项目设置,Project Setup
打开目录,Open Directory
创建项目后打开项目目录,Open the Project Directory after the Project is created
新建未完成项目,New unfinished project
添加新的未完成项目,Add a new unfinished project
保存 Blender 文件,Save Blender File
在构建时保存 Blender 文件。如果禁用，则只创建项目文件夹,"Save Blender File on build. If disabled, only the project folders are created"
剪切或复制,Cut or Copy
决定是否要将文件从当前文件夹剪切或复制到项目文件夹。,"Decide, if you want to cut or copy your file from the current folder to the project folder."
以其他名称保存 Blender 文件,Save Blender File with another name
添加版本号,Add Version Number
如果文件已经存在，添加一个版本号,Add a Version Number if the File already exists
保存文件名,Save File Name
Blender 文件的名称,Name of the Blender File
重新映射相对路径,Remap Relative
重新映射相对路径,Remap the Relative Paths
压缩保存,Compress Save
在保存时压缩文件，这会使文件变小，但保存时间会延长。,"Compress the File on Save.\nThis will make the File smaller, but it will take longer to save.\nThis will not compress images."
设置渲染输出,Set the Render Output
将渲染输出设置为项目文件夹,Set the Render Output to the Project Folder
切换到重新排列模式,Switch to Rearrange Mode
返回文件夹树的字符串表示。,Return a string representation of the folder tree.
__str__()的递归辅助函数。,Recursive helper function for __str__().
将标记解析为路径树。,Parse tokens as tree of paths.
将路径树编译成相对路径列表。,Compile the Tree into a list of relative paths.
在系统中创建文件夹。,Create the folders on the system.
构建项目,Build Project
构建项目操作符 ,Build Project Operator 
添加文件夹,Add Folder
删除文件夹,Remove Folder
删除所选文件夹。,Remove the selected Folder.
添加新的文件夹结构集。,Adds a new folder structure set.
添加文件夹结构集,Add Folder Structure Set
文件夹结构集名称：,Folder Structure Set Name:
删除文件夹结构集,Remove a folder structure set
删除设置,Remove Set
超级项目管理器,Super Project Manager
自定义文件夹设置,Custom Folder Setup
打开首选项,Open Preferences
渲染路径,Render Path
磁贴渲染到的路径。,The path where the tiles will be rendered to.
超级真实音效,Super Real Sound
Super Real Sound 由 Kevin 开发。,Super Real Sound is developed by Kevin.
开始渲染,Start Render
使用设置启动渲染农场,Uses the settings to start the render farm
转到输出,Go To Outputs
进入输出设置,Brings you to the outputs settings
输出,OUTPUT
保存主设置,Save Master Settings
将主设置保存到文件中,Saves the master settings to a file
超级渲染农场（即将推出）,Super Render Farm (coming soon)
打开主设置,Open Master Settings
传输方法,Transfer Method
一切都是自动的,Everything is automatic
SMB URL 为空,SMB URL is empty
SMB 用户名为空,SMB Username is empty
SMB 密码为空,SMB Password is empty
FTP URL 为空,FTP URL is empty
FTP 用户名为空,FTP Username is empty
FTP 密码为空,FTP Password is empty
渲染开始时关闭 Blender,Close Blender on render start
不支持的文件格式,Unsupported file format
渲染农场的工作目录： //SRF/,The working directory for the render farm.\nRecommended: //SRF/
日志记录,Logging
启用日志记录到文件： 这可能需要很大的磁盘空间： true,Enable logging to a file.\nWarning: This can require a lot of disk space.\nRecommended: True
端口,Port
服务器使用的端口： 19186,The port to use for the server.\nRecommended: 19186
分析,Analytics
启用分析功能。,Enable analytics.
保存调试数据,Save Debug Data
将调试数据保存到文件中。（n）完全本地化，数据不会发送到任何地方： 建议： true,"Saves debug data to a file.\nCompletely local, no data is sent anywhere.\nRecommended: True"
IP 覆盖,IP Override
覆盖服务器绑定的 IP 地址。,Override the IP address that the server binds to.\nLeave empty for automatic.
PRF 覆盖,PRF Override
覆盖 PRF 文件位置。,Override the PRF file location.\nLeave empty for automatic.
客户端限制,Client Limit
限制可连接的客户端数量。,Limit the number of clients that can connect.\n0 = No Limit
FTP URL,FTP URL
FTP 服务器的 URL。,The URL to the FTP server.
FTP 用户名,FTP Username
FTP 服务器使用的用户名。,The username to use for the FTP server.
FTP 密码,FTP Password
FTP 服务器使用的密码。,The password to use for the FTP server.
SMB URL,SMB URL
SMB 服务器的 URL。,The URL to the SMB server.
SMB 用户名,SMB Username
用于 SMB 服务器的用户名。,The username to use for the SMB server.
SMB 密码,SMB Password
用于 SMB 服务器的密码。,The password to use for the SMB server.
数据库覆盖,Database Override
覆盖数据库文件位置。,Override the database file location.\nLeave empty for automatic.
使用 SFR,Use SFR
在渲染前优化渲染设置,Optimizes your render settings before rendering
使用 SID 时域,Use SID-Temporal
使用 SID-Temporal 对动画进行去噪处理,Denoise your animation using SID-Temporal
测试渲染,Test Render
在渲染完整动画前渲染测试帧,Render a test frame before rendering the full animation
批次大小,Batch Size
一次渲染的帧数,The number of frames to render at once
传输文件的方法,The method to use for transferring files
渲染设备,Render Device
用于渲染的设备,The device to use for rendering
关闭渲染器,Close Blender
渲染时关闭 Blender,Close Blender while rendering
超级渲染输出（super_res_render_output,super_res_render_output
非彩色,Non-Color
分割当前摄像机,Split Active Camera
细分活动相机,Subdivides the active Camera
细分图像,Subdivides your Image
停止渲染,Stop Render
合并帧,Merge Frames
将帧合并为一幅图像,Merge Frames into one Image
超分辨率渲染,Super Resolution Render
建议分辨率,Suggested Resolution:
最大瓦片数,Max Tile:
渲染,Rendering:
开始渲染,Start Rendering
停止渲染,Stop Rendering
瓷砖总数,Total Tiles
要渲染的瓷砖总数,Total number of tiles to render
已渲染的瓷砖数,Tiles Done
已渲染的瓷砖数量,Number of tiles rendered
已渲染瓷砖的百分比,Percentage of tiles rendered
方法,Method
渲染时将图像分割成瓷砖的方法,Method used to divide image into tiles while rendering
瓷砖,Tiles
将渲染的图像细分为瓦片,Subdivisions of rendered image into tiles
状态,Status
开始平铺,Start Tile
开始渲染的瓦片。,The Tile it starts rendering from.
